"Date","Germany unemployment rate"
"12/31/1991","7.3"
"1/31/1992","7.6"
"2/28/1992","7.4"
"3/31/1992","7.4"
"4/30/1992","7.5"
"5/29/1992","7.6"
"6/30/1992","7.6"
"7/31/1992","7.8"
"8/31/1992","7.8"
"9/30/1992","7.8"
"10/30/1992","7.9"
"11/30/1992","8"
"12/31/1992","8.1"
"1/29/1993","8.2"
"2/26/1993","8.3"
"3/31/1993","8.4"
"4/30/1993","8.5"
"5/31/1993","8.7"
"6/30/1993","8.8"
"7/30/1993","9.1"
"8/31/1993","9.2"
"9/30/1993","9.4"
"10/29/1993","9.6"
"11/30/1993","9.6"
"12/31/1993","9.6"
"1/31/1994","9.7"
"2/28/1994","9.7"
"3/31/1994","9.7"
"4/29/1994","9.8"
"5/31/1994","9.8"
"6/30/1994","9.7"
"7/29/1994","9.7"
"8/31/1994","9.6"
"9/30/1994","9.5"
"10/31/1994","9.4"
"11/30/1994","9.3"
"12/30/1994","9.3"
"1/31/1995","9.2"
"2/28/1995","9.2"
"3/31/1995","9.2"
"4/28/1995","9.3"
"5/31/1995","9.3"
"6/30/1995","9.4"
"7/31/1995","9.4"
"8/31/1995","9.5"
"9/29/1995","9.6"
"10/31/1995","9.7"
"11/30/1995","9.7"
"12/29/1995","9.9"
"1/31/1996","10"
"2/29/1996","10.2"
"3/29/1996","10.3"
"4/30/1996","10.3"
"5/31/1996","10.3"
"6/28/1996","10.3"
"7/31/1996","10.4"
"8/30/1996","10.4"
"9/30/1996","10.5"
"10/31/1996","10.6"
"11/29/1996","10.7"
"12/31/1996","10.8"
"1/31/1997","11.3"
"2/28/1997","11.2"
"3/31/1997","11.2"
"4/30/1997","11.2"
"5/30/1997","11.4"
"6/30/1997","11.5"
"7/31/1997","11.5"
"8/29/1997","11.6"
"9/30/1997","11.7"
"10/31/1997","11.8"
"11/28/1997","11.7"
"12/31/1997","11.7"
"1/30/1998","11.7"
"2/27/1998","11.6"
"3/31/1998","11.5"
"4/30/1998","11.3"
"5/29/1998","11.2"
"6/30/1998","11"
"7/31/1998","10.9"
"8/31/1998","10.8"
"9/30/1998","10.7"
"10/30/1998","10.6"
"11/30/1998","10.6"
"12/31/1998","10.8"
"1/29/1999","10.7"
"2/26/1999","10.7"
"3/31/1999","10.6"
"4/30/1999","10.6"
"5/31/1999","10.5"
"6/30/1999","10.5"
"7/30/1999","10.5"
"8/31/1999","10.5"
"9/30/1999","10.5"
"10/29/1999","10.5"
"11/30/1999","10.4"
"12/31/1999","10.3"
"1/31/2000","10.2"
"2/29/2000","10.1"
"3/31/2000","10.1"
"4/28/2000","9.6"
"5/31/2000","9.5"
"6/30/2000","9.5"
"7/31/2000","9.5"
"8/31/2000","9.5"
"9/29/2000","9.4"
"10/31/2000","9.4"
"11/30/2000","9.3"
"12/29/2000","9.3"
"1/31/2001","9.3"
"2/28/2001","9.3"
"3/30/2001","9.3"
"4/30/2001","9.3"
"5/31/2001","9.2"
"6/29/2001","9.3"
"7/31/2001","9.3"
"8/31/2001","9.3"
"9/28/2001","9.4"
"10/31/2001","9.5"
"11/30/2001","9.6"
"12/31/2001","9.6"
"1/31/2002","9.6"
"2/28/2002","9.6"
"3/29/2002","9.6"
"4/30/2002","9.5"
"5/31/2002","9.7"
"6/28/2002","9.8"
"7/31/2002","9.8"
"8/30/2002","9.8"
"9/30/2002","9.9"
"10/31/2002","10"
"11/29/2002","10.1"
"12/31/2002","10.2"
"1/31/2003","10.4"
"2/28/2003","10.5"
"3/31/2003","10.5"
"4/30/2003","10.6"
"5/30/2003","10.6"
"6/30/2003","10.6"
"7/31/2003","10.6"
"8/29/2003","10.5"
"9/30/2003","10.5"
"10/31/2003","10.5"
"11/28/2003","10.5"
"12/31/2003","10.5"
"1/30/2004","10.3"
"2/27/2004","10.3"
"3/31/2004","10.4"
"4/30/2004","10.4"
"5/31/2004","10.5"
"6/30/2004","10.5"
"7/30/2004","10.6"
"8/31/2004","10.6"
"9/30/2004","10.7"
"10/29/2004","10.7"
"11/30/2004","10.8"
"12/31/2004","10.9"
"1/31/2005","11.6"
"2/28/2005","11.9"
"3/31/2005","12.1"
"4/29/2005","11.9"
"5/31/2005","11.9"
"6/30/2005","11.8"
"7/29/2005","11.7"
"8/31/2005","11.7"
"9/30/2005","11.6"
"10/31/2005","11.5"
"11/30/2005","11.5"
"12/30/2005","11.3"
"1/31/2006","11.4"
"2/28/2006","11.4"
"3/31/2006","11.4"
"4/28/2006","11.3"
"5/31/2006","10.9"
"6/30/2006","10.8"
"7/31/2006","10.6"
"8/31/2006","10.5"
"9/29/2006","10.5"
"10/31/2006","10.3"
"11/30/2006","10.1"
"12/29/2006","9.8"
"1/31/2007","9.6"
"2/28/2007","9.5"
"3/30/2007","9.3"
"4/30/2007","9.2"
"5/31/2007","9.1"
"6/29/2007","9"
"7/31/2007","8.9"
"8/31/2007","8.8"
"9/28/2007","8.7"
"10/31/2007","8.6"
"11/30/2007","8.5"
"12/31/2007","8.4"
"1/31/2008","8.2"
"2/29/2008","8"
"3/31/2008","7.9"
"4/30/2008","7.9"
"5/30/2008","7.9"
"6/30/2008","7.7"
"7/31/2008","7.7"
"8/29/2008","7.6"
"9/30/2008","7.6"
"10/31/2008","7.6"
"11/28/2008","7.6"
"12/31/2008","7.7"
"1/30/2009","7.8"
"2/27/2009","7.9"
"3/31/2009","8.1"
"4/30/2009","8.3"
"5/29/2009","8.2"
"6/30/2009","8.3"
"7/31/2009","8.3"
"8/31/2009","8.2"
"9/30/2009","8.2"
"10/30/2009","8.1"
"11/30/2009","8.1"
"12/31/2009","8.1"
"1/29/2010","8"
"2/26/2010","8"
"3/31/2010","8"
"4/30/2010","7.8"
"5/31/2010","7.7"
"6/30/2010","7.7"
"7/30/2010","7.6"
"8/31/2010","7.6"
"9/30/2010","7.5"
"10/29/2010","7.4"
"11/30/2010","7.4"
"12/31/2010","7.4"
"1/31/2011","7.4"
"2/28/2011","7.3"
"3/31/2011","7.2"
"4/29/2011","7.1"
"5/31/2011","7.1"
"6/30/2011","7"
"7/29/2011","7"
"8/31/2011","7"
"9/30/2011","6.9"
"10/31/2011","6.9"
"11/30/2011","6.8"
"12/30/2011","6.8"
"1/31/2012","6.8"
"2/29/2012","6.8"
"3/30/2012","6.8"
"4/30/2012","6.9"
"5/31/2012","6.8"
"6/29/2012","6.8"
"7/31/2012","6.8"
"8/31/2012","6.8"
"9/28/2012","6.8"
"10/31/2012","6.8"
"11/30/2012","6.8"
"12/31/2012","6.9"
"1/31/2013","6.9"
"2/28/2013","6.9"
"3/29/2013","6.9"
"4/30/2013","6.9"
"5/31/2013","6.9"
"6/28/2013","6.8"
"7/31/2013","6.8"
"8/30/2013","6.8"
"9/30/2013","6.8"
"10/31/2013","6.9"
"11/29/2013","6.9"
"12/31/2013","6.8"
"1/31/2014","6.8"
"2/28/2014","6.8"
"3/31/2014","6.8"
"4/30/2014","6.7"
"5/30/2014","6.7"
"6/30/2014","6.7"
"7/31/2014","6.7"
"8/29/2014","6.7"
"9/30/2014","6.7"
"10/31/2014","6.6"
"11/28/2014","6.6"
"12/31/2014","6.5"
"1/30/2015","6.5"
"2/27/2015","6.5"
"3/31/2015","6.4"
"4/30/2015","6.4"
"5/29/2015","6.4"
